fundNo,fundName
SE1249,中海信托.彤源3号集合资金信托计划
SE1250,中海信托.彤源5号集合资金信托计划
SE1251,中海信托.彤源6号集合资金信托计划
SE1261,平安财富淡水泉成长一期集合资金信托
SE1278,金狮151号证券投资集合资金信托
SE1281,中国龙价值（八）资本市场集合资金信托计划
SE1283,金蕴25期（淡水泉）集合资金信托计划
SE1284,金蕴67期（淡水泉）集合资金信托计划
SE1287,华润信托·朱雀阿尔法3号集合资金信托计划
SE1288,外贸信托-朱雀漂亮阿尔法集合资金信托计划
SE1289,兴业信托·朱雀阿尔法7号证券投资集合资金信托计划
SE1290,外贸信托·双赢3期（阳光私募基金宝）证券投资集合资金信托计划
SE1291,金狮182号·工行高净值客户专属理财产品单一资金信托计划
SE1292,融新366号·工行“阳光私募组合”系列之证券投资集合资金信托计划
SE1293,中信信托·朱雀21期证券投资集合资金信托计划
SE1294,中信信托·朱雀20期证券投资集合资金信托计划
SE1296,宁聚爬山虎1期集合资金信托计划
SE1297,中信信托神农1期证券投资集合资金信托计划
SE1299,深国投.武当1期
SE1302,华润信托.武当稳健增长
SE1303,山东信托.武当8号
SE1310,平安财富中国机会三期集合资金信托计划
SE1319,兴业信托·朱雀18期（大消费行业精选）证券投资集合资金信托计划
SE1320,中信信托·朱雀16期证券投资集合资金信托计划
SE1321,中信信托·朱雀15期证券投资集合资金信托计划
SE1322,中信信托·朱雀14期证券投资集合资金信托计划
SE1332,中国龙增长（二）资本市场集合资金信托计划
SE1333,中国龙精选资本市场集合资金信托计划
SE1334,深国投.武当4期
SE1335,华润信托.武当13期
SE1336,华润信托.武当14期
SE1337,山东信托.武当7号
SE1338,山东信托.武当9号
SE1340,华润信托·朱雀11期证券投资集合资金信托计划
SE1341,华润信托·朱雀10期证券投资集合资金信托计划
SE1342,西部信托·朱雀8期证券投资集合资金信托计划
SE1343,西部信托·朱雀5期证券投资集合资金信托计划
SE1344,陕国投·朱雀（一）期证券投资集合资金信托计划
SE1345,深国投·朱雀1期证券投资集合资金信托计划
SE1350,中信-宁聚量化对冲1期管理型金融投资集合资金信托计划
SE1358,云南信托 中国龙目标回报1期证券投资集合资金信托计划
