registerCode,name
SR8019,国泰元鑫北大未名7号股权投资专项资产管理计划
SR8094,华安未来资管-浦发银行上海分行未来1号专项资产管理计划
SR8089,融通资本蓉宝29号专项资产管理计划
SR8085,融通资本汇盈36号专项资产管理计划
SR8014,华安资产东方资产佳源杭城专项资产管理计划
SR8091,红塔资产祺阳2号专项资产管理计划
SR8111,中信建投基金钜融安心5号资产管理计划
SR8126,兴银基金-量化多因子2号资产管理计划
SR8072,新华富时滨新9号专项资产管理计划
SR8124,创金合信基金-一创证券-悉赢7号资产管理计划
SR8018,国泰元鑫恒大集团汇富1号专项资产管理计划
SR8048, 国开泰富资管-品质西安长安3号专项资产管理计划
SR8039,安信基金皓星1号资产管理计划
SR7948,建信资本内蒙交投发展基金专项资产管理计划
SR7973,首誉光控-湖南万和三号专项资产管理计划
SR7971,首誉光控-福州宝来三号专项资产管理计划
SR7970,首誉光控-福州宝来二号专项资产管理计划
SR7972,首誉光控-湖南万和二号专项资产管理计划
SR7965,融通资本乐享16号专项资产管理计划
SR7729,首誉光控-子沐基金一号专项资产管理计划
SM8509,万家共赢泰成3号专项资产管理计划
SR7850,国金基金元孚7号资产管理计划
SR7882,鹏华-稳利1号资产管理计划
SR7816,中欧基金-浦发银行4号资产管理计划
SR7851,交银施罗德中国银行多策略对冲资产管理计划
SR7832,景顺长城资产-贵诚FOHF一期专项资产管理计划
SR7845,华富资管醉美1号专项资产管理计划
SR7745,兴全-上海信托2号特定客户资产管理计划
SR7844,融通-融韵1号特定（多个）客户资产管理计划
SR4907,万家共赢华能1号专项资产管理计划
SR7842,天弘天信定增28号资产管理计划
SR7778,广发美国房地产投资资产管理计划
SR7817,广发橄榄树量化对冲资产管理计划38号
SR7885,北信瑞丰基金日海1号资产管理计划
SR7889,易方达资产-国君量化001号专项资产管理计划
SR7863,金元百利宝鑫1号专项资产管理计划
SE8384,吉祥人寿万能产品-工银瑞信基金-农业银行委托投资资产管理合同
SR7888,创金合信基金-平安证券-悉赢8号资产管理计划
SR7776,前海开源龙粤基金精选1号资产管理计划
SR7737,兴全可交换私募债38期特定客户资产管理计划
SR7798,新华富时国新2号专项资产管理计划
SR7724,首誉光控-新洲阳逻2号专项资产管理计划
SR7807,嘉实资本稳健104号专项资产管理计划
SR7605,首誉光控-中诚明昇2号专项资产管理计划
SR7628,圆信永丰-浦发睿郡可交换私募债1期分级特定多客户资产管理计划
SR7674,方正富邦通宝1号一期资产管理计划
SR7707,汇安基金-悦达醴泉1号资产管理计划
SR7658,西部利得-海通-安盈16号资产管理计划
SR7675,西部利得--淳祐1号资产管理计划
SR7712,财通基金-锦和定增分级26号资产管理计划
SR7685,金元百利毅达一期专项资产管理计划
SR7631,平安大华安赢汇富安信1号资产管理计划
SR7670,建信资本稳健增值泰康1号专项资产管理计划
SR7569,九泰基金-证向新股申购证券投资基金资产管理计划
SR7614,新东吴优胜泰州华诚医学3号专项资产管理计划
SR7586,长城嘉信-华润1号专项资产管理计划
SR7717,富国资产-富佳4号专项资产管理计划
SR7713,富国资产-宏远2号资产管理计划
SR7702,鹏华资产FOHF1号凝萃稳利四期1号专项资产管理计划
SR7655,海富通-交通银行-骏和实盈QDII资产管理计划
SR7706,中海恒信-哈尔滨农商1号单一客户专项资产管理计划
SR7669,万家共赢申万十九号资产管理计划
SR7721,华夏基金-济源农商债券1号资产管理计划
SR7570,长盛基金沪信2号资产管理计划资产管理合同
S91066,中欧基金-兴业银行-欧盈2号资产管理计划
SR7610,长信基金-浦发银行-印纪传媒员工持股资产管理计划
SR7579,平安大华安赢汇富中安1号资产管理计划
SR7715,富诚海富通IDG产业基金1号专项资产管理计划
SR7594,汇安基金-上海银行1号资产管理计划
